,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site
175,6,-0.372456102,49.87130645,49.3397872,1.055152758,25.98454194,1199.999677,124,wet,3,2010,S11
176,7,27.29106717,387.0133,328.7535014,1.022209579,26.00187333,1200.005667,124,wet,3,2010,S11
177,8,28.247715,386.6167,327.111162,1.031809104,26.01313667,1199.990333,124,wet,3,2010,S11
178,9,34.73577718,582.9819677,506.6999715,1.021757434,26.01336774,1200.013226,124,wet,3,2010,S11
179,10,36.10918949,781.3884839,698.1060268,1.024372991,26.0005129,1200.012903,124,wet,3,2010,S11
180,11,34.95475284,980.8177667,893.9588625,1.010232802,26.00523667,1200.001667,124,wet,3,2010,S11
181,12,34.06758825,1180.211,1089.515642,0.99732249,26.01718667,1199.997,124,wet,3,2010,S11
182,13,32.2488397,1479.310667,1384.528794,0.995329369,26.00174667,1200.006333,124,wet,3,2010,S11
183,1,11.6964308,394.2786774,343.1360864,0.478636407,26.28229355,1199.997097,125,dry,3,2010,S11
184,2,14.6822649,392.9659667,332.5823753,0.491790388,25.77911667,1200.016333,125,dry,3,2010,S11
185,3,11.29030483,294.6915161,244.9946733,0.451500156,26.1082129,1200.029355,125,dry,3,2010,S11
186,4,5.867732741,197.1026129,170.6389704,0.461161512,25.93314516,1199.999355,125,dry,3,2010,S11
187,5,0.448137515,99.54692333,95.35687476,0.450576151,25.99509,1200.014,125,dry,3,2010,S11
188,6,-2.374443675,50.81208333,58.50880958,0.446994148,26.01676,1199.987667,125,dry,3,2010,S11
189,7,15.49124683,392.7644194,323.6338861,0.441652266,25.97322903,1200.009677,125,dry,3,2010,S11
190,8,16.26422182,392.4799032,318.0514632,0.42513597,26.00851935,1199.997419,125,dry,3,2010,S11
191,9,19.88155462,590.5626667,495.7942314,0.419538233,25.99111333,1200.006,125,dry,3,2010,S11
192,10,20.87881345,789.7262258,683.1376387,0.405778641,25.99454839,1200.012581,125,dry,3,2010,S11
193,11,20.83470054,989.2782581,875.8327139,0.396520214,25.9939,1200.001935,125,dry,3,2010,S11
194,12,20.39999678,1189.045333,1069.283366,0.382856599,25.98179333,1200.017,125,dry,3,2010,S11
195,13,19.71924898,1488.697667,1362.280339,0.374318342,25.98203667,1200.007667,125,dry,3,2010,S11
196,1,17.97169695,391.3606129,337.4441778,0.703644637,26.32833548,1200.010323,125,wet,3,2010,S11
197,2,19.22174038,390.8186774,337.0861045,0.757857258,25.79968387,1199.997742,125,wet,3,2010,S11
198,3,14.8682918,292.9189355,248.2054497,0.690415891,26.04448387,1200.049355,125,wet,3,2010,S11
199,4,8.319668512,195.936,170.6999,0.708437556,25.95238387,1199.976452,125,wet,3,2010,S11
200,5,1.34992911,99.07669333,93.23522042,0.678479159,25.99234667,1200.001,125,wet,3,2010,S11
201,6,-2.308369144,50.73355667,55.47940121,0.677278346,25.99461667,1200.000333,125,wet,3,2010,S11
202,7,19.37511203,390.8277742,330.6993801,0.666219684,25.99035484,1200.001613,125,wet,3,2010,S11
203,8,19.78718325,390.6851935,328.9562421,0.658816475,25.99580968,1199.987742,125,wet,3,2010,S11
204,9,24.11035718,588.2654,508.7254817,0.641698435,26.00365333,1199.996333,125,wet,3,2010,S11
205,10,25.37653207,787.086,698.7465972,0.636353082,25.98980333,1199.985,125,wet,3,2010,S11
206,11,25.36253307,986.4254839,891.8989786,0.622770746,25.97156129,1199.996774,125,wet,3,2010,S11
207,12,24.3472047,1186.169333,1089.094789,0.61803994,25.98257667,1199.996,125,wet,3,2010,S11
208,13,23.65135044,1485.484333,1381.754047,0.606255107,25.98274,1199.973,125,wet,3,2010,S11
209,1,8.289451647,396.2495806,293.6443287,0.145854295,25.94516129,1199.986129,144,dry,3,2016,S11
210,2,10.29757176,395.5689667,248.3740866,0.121815097,25.96164667,1200.002667,144,dry,3,2016,S11
211,3,8.240170885,296.4336,181.1251236,0.123969068,25.92863333,1200.019,144,dry,3,2016,S11
212,4,5.240189419,197.7109,128.2826017,0.132238283,25.97312,1199.991333,144,dry,3,2016,S11
213,5,1.838241714,99.15562903,75.08515945,0.139398257,25.99844839,1200.005161,144,dry,3,2016,S11
214,6,0.10255223,49.90664194,47.3694314,0.146897906,25.99149032,1199.992258,144,dry,3,2016,S11
215,7,13.91268058,394.0381935,239.2537238,0.156585567,25.94421935,1200.001613,144,dry,3,2016,S11
216,8,14.47831037,393.7364,245.8554011,0.171511756,26.00136,1200.000333,144,dry,3,2016,S11
