"","...1","X","obs","A","Ca","Ci","gsw","Tleaf","Q","ID","Treatment","Rep","Year","Site","PrePeak","Region"
"141",141,1665,1,16.06802716,391.983625,347.8977971,0.809806962,25.85875,1199.985,"39b","wet",2,2010,"S07","Pre","South"
"142",142,1678,1,16.42343605,391.6024,343.8695188,0.77429104,26.08386667,1200.001333,"4","wet",2,2010,"S02","Pre","South"
"143",143,1691,1,14.09804582,393.5837097,307.0528027,0.307315863,26.09152903,1200.010645,"40","dry",2,2010,"S07","Pre","South"
"144",144,1704,1,9.337376582,396.7177333,487.7811491,-0.138204322,25.91266,1200.028,"40","wet",2,2010,"S07","Pre","South"
"145",145,1717,1,15.68554494,392.1839677,340.8472263,0.661804619,26.26977097,1200.030645,"41","dry",2,2010,"S07","Pre","South"
"146",146,1730,1,15.40575541,391.6117,355.3879988,1.064678459,26.21197667,1199.980667,"41","wet",2,2010,"S07","Pre","South"
"147",147,1769,1,14.34973992,392.5456452,349.4798841,0.763043197,26.03794194,1200.019677,"5","wet",2,2010,"S02","Pre","South"
"148",148,1912,1,9.657677612,395.1833333,342.3759399,0.376043793,25.82838889,1200.012222,"6","dry",2,2010,"S02","Pre","South"
"149",149,1925,1,13.10694188,393.189,356.2819518,0.822864159,26.0081375,1200.0175,"6","wet",2,2010,"S02","Pre","South"
"150",150,1938,1,13.04046306,393.6884333,334.6680005,0.451984073,26.03331667,1199.991333,"7","dry",2,2010,"S02","Pre","South"
"151",151,1951,1,19.23926689,391.3118333,289.0787921,0.353382286,25.98330667,1200.001,"7","wet",2,2010,"S02","Pre","South"
"152",152,1964,1,15.40360298,392.3684444,345.3192471,0.709772496,26.13045556,1199.988889,"8","dry",2,2010,"S02","Pre","South"
"153",153,1977,1,14.33571505,392.613125,354.2817433,0.862115183,26.1278375,1200.065,"8","wet",2,2010,"S02","Pre","South"
"154",154,1,1,18.47753669,390.9089,338.5006378,0.766732187,26.10247,1200.016667,"1","dry",3,2010,"S02","Pre","South"
"155",155,14,1,15.55608201,392.0424333,347.2111838,0.784606205,26.05578,1200.017333,"1","wet",3,2010,"S02","Pre","South"
"156",156,27,1,16.70275353,392.0240323,327.9483189,0.530987901,26.12373226,1200.00871,"119","dry",3,2010,"S11","Pre","South"
"157",157,40,1,17.08475455,391.624871,336.4585326,0.657208885,25.9738129,1200.013871,"119","wet",3,2010,"S11","Pre","South"
"158",158,53,1,16.53927388,392.0266,341.6515879,0.70547581,26.25382667,1199.989,"120","dry",3,2010,"S11","Pre","South"
"159",159,66,1,12.29216139,394.0937097,334.228044,0.413848022,25.90067097,1200.018065,"120","wet",3,2010,"S11","Pre","South"
"160",160,79,1,12.6075911,394.279,302.3022107,0.255806077,26.09622333,1199.999333,"121","dry",3,2010,"S11","Pre","South"
"161",161,92,1,15.56304284,392.5382903,330.5543348,0.51249955,25.98006129,1200.022903,"121","wet",3,2010,"S11","Pre","South"
"162",162,105,1,12.0808724,394.4042667,313.1254152,0.282673084,25.95876333,1200.002333,"122","dry",3,2010,"S11","Pre","South"
"163",163,118,1,19.24126242,390.768871,328.4177666,0.642287492,26.12752903,1199.996774,"122","wet",3,2010,"S11","Pre","South"
"164",164,131,1,12.09530635,394.1274194,332.8471931,0.395831924,25.71448065,1199.992581,"123","dry",3,2010,"S11","Pre","South"
"165",165,144,1,19.37408072,390.5551935,333.9864714,0.732526521,26.08364839,1199.996774,"123","wet",3,2010,"S11","Pre","South"
"166",166,157,1,21.34473751,389.4822581,337.121634,0.903984602,26.13791935,1200.007742,"124","dry",3,2010,"S11","Pre","South"
"167",167,170,1,19.04855199,390.2523667,346.1093971,1.004616596,26.21423,1199.996,"124","wet",3,2010,"S11","Pre","South"
"168",168,183,1,11.6964308,394.2786774,343.1360864,0.478636407,26.28229355,1199.997097,"125","dry",3,2010,"S11","Pre","South"
"169",169,196,1,17.97169695,391.3606129,337.4441778,0.703644637,26.32833548,1200.010323,"125","wet",3,2010,"S11","Pre","South"
