,X,obs,A,Ca,Ci,gsw,Tleaf,Q,ID,Treatment,Rep,Year,Site,PrePeak,Region
195,877,6,-0.201574986,49.95128387,49.42934591,0.420380126,26.00722903,1199.995484,190,wet,3,2010,S16,Pre,North
196,1111,6,-2.009691816,50.60272333,54.19127245,0.737817407,25.99269,1200.003667,3,dry,3,2010,S02,Pre,South
197,1124,6,0.599485161,49.50955484,47.18694648,0.945361832,26.00051613,1200.007419,3,wet,3,2010,S02,Pre,South
198,1163,6,-1.98192714,50.62993333,56.21863278,0.491732805,26.02965667,1200.017,342,dry,3,2011,S36,Pre,North
199,1176,6,-2.090712725,50.62735333,54.4715465,0.728900677,26.02179333,1199.977333,342,wet,3,2011,S36,Pre,North
200,1189,6,-1.897559111,50.62687,57.47387523,0.390783384,25.99097333,1199.977333,343,dry,3,2011,S36,Pre,North
201,1202,6,-1.991749326,50.58192667,54.12066819,0.737551029,26.02131667,1199.990667,343,wet,3,2011,S36,Pre,North
202,1215,6,-1.847924464,50.59316,56.03913562,0.469755332,26.01407,1199.978,344,dry,3,2011,S36,Pre,North
203,1228,6,-0.565012023,50.01690323,50.23106744,0.670363975,25.98430323,1199.997419,344,wet,3,2011,S36,Pre,North
204,1241,6,-1.949430922,50.69554667,59.53967722,0.317666539,26.07876,1200,345,dry,3,2011,S36,Pre,North
205,1254,6,-2.180783054,50.68774839,55.32816727,0.646242769,25.99369355,1200.012258,345,wet,3,2011,S36,Pre,North
206,1267,6,-1.612769056,50.40896774,52.38833973,0.915663374,26.0157871,1199.996774,346,dry,3,2011,S36,Pre,North
207,1280,6,-0.513626095,49.97966774,49.83355539,0.868927491,26.00271935,1199.983548,346,wet,3,2011,S36,Pre,North
208,1293,6,-2.453992096,50.79717097,57.25608719,0.539957234,26.00783226,1199.999355,348,dry,3,2011,S36,Pre,North
209,1306,6,-0.98012075,50.15393871,51.04373115,0.829803975,26.02199032,1199.990323,348,wet,3,2011,S36,Pre,North
210,1319,6,-1.906076231,50.57870333,54.66005115,0.621868366,25.98510333,1200.003,349,dry,3,2011,S36,Pre,North
211,1332,6,-2.053539002,50.63463,55.01954349,0.636063917,26.02422667,1200.015333,349,wet,3,2011,S36,Pre,North
212,1553,6,-0.184049798,49.90509032,49.20262779,0.541607922,26.00043226,1199.998065,38a,dry,3,2010,S07,Pre,South
213,1566,6,0.014021164,49.80306452,48.47572073,0.61842229,26.00462903,1200.015161,38a,wet,3,2010,S07,Pre,South
214,1579,6,0.287581754,49.67200323,47.69865971,0.679125972,26.00180968,1200.010645,38b,wet,3,2010,S07,Pre,South
215,1592,6,-1.923691438,50.60168387,55.50390973,0.535590791,26.02420323,1200.008065,39a,dry,3,2010,S07,Pre,South
216,1605,6,-0.089355922,49.83123871,48.81610992,0.66597277,26.00209677,1199.996774,39a,wet,3,2010,S07,Pre,South
217,1618,6,-1.043360431,50.16932258,51.14164151,0.854338921,26.01160645,1200.009355,39b,dry,3,2010,S07,Pre,South
218,1631,6,-0.199787579,49.88692581,49.19569939,0.618006439,25.99231613,1200.005484,39b,wet,3,2010,S07,Pre,South
219,1644,6,-0.727243084,50.01841613,50.14573769,1.004481329,26.00114194,1200.01871,4,dry,3,2010,S02,Pre,South
220,1657,6,-0.050132316,49.82566452,48.71805519,0.641385951,25.99950968,1200.023226,4,wet,3,2010,S02,Pre,South
221,1670,6,-0.335219211,50.05680968,51.30061515,0.208170244,25.9836129,1200.013548,40,dry,3,2010,S07,Pre,South
